,text,label
44,"⚽️Casual Kickabout - APR 11,2022🍻  #HCFC #HapevilleCityFC #Hapevillian #Hapeville #Atlanta #ATL #Soccer #Football #Calcio #Fútbol #Fußball #PiłkaNożna #футбол #Futebol #SupportLocalSoccer #GrassrootsFootball #NonLeagueFootball #CollegePark #EastPoint #Kickabout  https://t.co/L63Vl4uCOM","['hcfc', 'hapevillecityfc', 'hapevillian', 'hapeville', 'atlanta', 'atl', 'soccer', 'football', 'calcio', 'fútbol', 'fußball', 'piłkanożna', 'футбол', 'futebol', 'supportlocalsoccer', 'grassrootsfootball', 'nonleaguefootball', 'collegepark', 'eastpoint', 'kickabout']"
45,Soccer Super League  https://t.co/y7cBQSbAM6 #soccer #league #Football #15,"['soccer', 'league', 'football']"
46,🍺 Players of the Kicakbout ⚽️  Congratulations Patrick &amp; Eddie 🍻  #HCFC #HapevilleCityFC #Hapevillians #Hapeville #Atlanta #ATL #Soccer #Football #Calcio #Fútbol #Fußball #PiłkaNożna #футбол #Futebol #SupportLocalSoccer #GrassrootsFootball #NonLeagueFootball #Kickabout  https://t.co/MY2eYfeJ6a,"['hcfc', 'hapevillecityfc', 'hapevillians', 'hapeville', 'atlanta', 'atl', 'soccer', 'football', 'calcio', 'fútbol', 'fußball', 'piłkanożna', 'футбол', 'futebol', 'supportlocalsoccer', 'grassrootsfootball', 'nonleaguefootball', 'kickabout']"
49,Congratulations Eric King on your recent commitment to Manhattan College @manhattanedu where he will continue his education and soccer journey.   #wearecopa #thecopaway #copafamily #newyork #newjersey #soccer #futbol #committed  https://t.co/9LkpIqZdfb,"['wearecopa', 'thecopaway', 'copafamily', 'newyork', 'newjersey', 'soccer', 'futbol', 'committed']"
51,Game winning goals from this weekend #soccer #ecnl #ecnlr #goal #Recruiting #college #collegesoccer  https://t.co/dy1eVUNTz3,"['soccer', 'ecnl', 'ecnlr', 'goal', 'recruiting', 'college', 'collegesoccer']"
52,How much does the rest of the world (especially the UK) feel that in North America we call football ... SOCCER.. vent below #football #soccer #fifa #fifa22 #eFootball2022 #eFootball #pes #pes2021 #gamer #gaming #gamingcommunity #gamerdad,"['football', 'soccer', 'fifa', 'fifa22', 'efootball2022', 'efootball', 'pes', 'pes2021', 'gamer', 'gaming', 'gamingcommunity', 'gamerdad']"
53,"March was my Follower Request Month!  An Instagram follower requested a caricature sketch of Zinadine Zidane, who, as far as I can tell, appears to be another football/soccer person. #caricature #zinadinezidane #soccer #football  https://t.co/4YZeXzxwHJ","['caricature', 'zinadinezidane', 'soccer', 'football']"
56,The Battle Of The Midwest #throwback #soccer #cujackets #daytonflyers #soccermatch #scrimmage  https://t.co/K0m5FNWeRm,"['throwback', 'soccer', 'cujackets', 'daytonflyers', 'soccermatch', 'scrimmage']"
57,Did You Know that Cal South works with the NCSA to help athletes be matched with respective colleges?   Check out  https://t.co/INL3bsJkOG to find out more!   #DidYouKnow #CalSouth #soccer #futbol #soccerlife #soccerlove #soccerislife  https://t.co/VN5XMK4joD,"['didyouknow', 'calsouth', 'soccer', 'futbol', 'soccerlife', 'soccerlove', 'soccerislife']"
58,My #Soccer Pick(s) For Today 04/11/22:  Italy - #SerieA  #Sampdoria @ #Bologna - Both Team To Score (Yes) (-135) ❌  #GamblingTwitter #SportsBetting #BettingTwitter #BettingTips #Tipster #sportsbettingpicks #FreePicks #DraftKings,"['soccer', 'seriea', 'sampdoria', 'bologna', 'gamblingtwitter', 'sportsbetting', 'bettingtwitter', 'bettingtips', 'tipster', 'sportsbettingpicks', 'freepicks', 'draftkings']"
59,What is Trophy Manager?  https://t.co/t0KkHtUzDT #TrophyManager #football #soccer #game #onlinegame Sign up  https://t.co/7vF5K4hNVg,"['trophymanager', 'football', 'soccer', 'game', 'onlinegame']"
63,When a picture speaks a thousand words #soccer #football #ManCity  https://t.co/INjsRRH2zj,"['soccer', 'football', 'mancity']"
65,Fixed VIP Matches -  https://t.co/KZG38xJC6G   #FixedVIPMatches #FixedMatches #football #soccer #FixedMatch #FreeTips #CorrectScore,"['fixedvipmatches', 'fixedmatches', 'football', 'soccer', 'fixedmatch', 'freetips', 'correctscore']"
66,Worked out at school for football and soccer practice is cancelled due to rain. Decided to go to the gym tonight and put in extra work. 225 for three reps for my last set. #gym #soccer #nodaysoff #goals #training #varsity #freshman #defending #games  https://t.co/s0wGxsvBew,"['gym', 'soccer', 'nodaysoff', 'goals', 'training', 'varsity', 'freshman', 'defending', 'games']"
67,So proud of my oldest son he scored with his head at the game yesterday. #soccer #25 #Headers  https://t.co/CBbRHenXjS,"['soccer', 'headers']"
68,"Last hour of the largest #LeoMessi cards auction with @GoldinCo and @KenGoldin, bid now! more than 700 @PSAcard graded cards 🐐🚀Son las ultimas horas de la subasta mas grande de cromos de #Messi , no te lo pierdas!   #TheHobby #Soccer Bid here -&gt;   https://t.co/isRaWpBdCi  https://t.co/nf7HCzkkv7","['leomessi', 'messi', 'thehobby', 'soccer']"
69,Accumulative Game Score for @CPLsoccer Players after Matchday 1 Johnsson from @ForgeFCHamilton was the standout from week 1  Hernandez from @yorkutdfc  was the dud of the week  #CPL #concacaf #Soccer #football #Canada #Forge #YorkUtd #FIFA  https://t.co/TjdYO3pAck,"['cpl', 'concacaf', 'soccer', 'football', 'canada', 'forge', 'yorkutd', 'fifa']"
70,🚨 $15 TO GET OUR 100U MAX WHALE 🚨  10-2 (83.33%) LAST 12 MAX WHALE PLAYS!!! 🐋  DM FOR PAYMENT DETAILS!!!   LET’S GOOOOOO #VISIONFAM🔮!!!   #GamblingTwitter #SportsBetting #Sports #Bets #NBA #NFL #NCAAB #NHL #Soccer  https://t.co/7pZFPgnqLF,"['visionfam', 'gamblingtwitter', 'sportsbetting', 'sports', 'bets', 'nba', 'nfl', 'ncaab', 'nhl', 'soccer']"
71,Next Up: MON 3/27 7:30pm PST/10:30pm EST #TheSoccerScoreboardShow with @DrewHagenbaugh #MLS #PremierLeague #Bundesliga #LaLiga #Ligue1 #SerieA #News #Scores #Soccer #SoccerNews #TransferNews #UCL #ChampionsLeague  @SoccerSSIESR  https://t.co/nvAurycR8R  https://t.co/E4riso6RaX,"['thesoccerscoreboardshow', 'mls', 'premierleague', 'bundesliga', 'laliga', 'ligue1', 'seriea', 'news', 'scores', 'soccer', 'soccernews', 'transfernews', 'ucl', 'championsleague']"
72,DONE DEAL  Fábio Carvalho signs for Liverpool for 5 seasons. Liverpool pays 5 million euros plus 2.7 million euros in add-ons.   #football #transfer #transfers #fulham #liverpool #premierleague #soccer #championship  https://t.co/3PaTtvZjoE,"['football', 'transfer', 'transfers', 'fulham', 'liverpool', 'premierleague', 'soccer', 'championship']"
73,Professional mens soccer action photos for Lebanon Warriors #lebanonwarriors #lebanonsoccer #soccer #cincyphotography #lebanonohio @LebanonAthDept  https://t.co/uXcjo97l3e,"['lebanonwarriors', 'lebanonsoccer', 'soccer', 'cincyphotography', 'lebanonohio']"
74,"Youth Futsal 6-8pm, ages 5-15 and all skill levels welcome! #AztecaFC #Soccer #Futbol #Futsal #ChampionMentality #TheRoseMethod  https://t.co/fXg91aEASW","['aztecafc', 'soccer', 'futbol', 'futsal', 'championmentality', 'therosemethod']"
75,"Youth Futsal 6-8pm, ages 5-15 and all skill levels welcome! #AztecaFC #Soccer #Futbol #Futsal #ChampionMentality #TheRoseMethod  https://t.co/oW5RE4IzM8","['aztecafc', 'soccer', 'futbol', 'futsal', 'championmentality', 'therosemethod']"
76,Soccer Super League  https://t.co/y7cBQStK0e #soccer #league #Football #14,"['soccer', 'league', 'football']"
77,My @CPLsoccer team of the Week!!  GK: Ingham (OTT)  FB: Baquero (VAL) CB: Metusala (FRG) CB: Didic (PAC) FB: Eduardo (YRK)  LM: Daniels (HFX) CM: Johnsson (FRG) CM: Rampersad (HFX) RM: Bustos (PAC)  ST: Wright (OTT) ST: Diaz (PAC)  #CPL #Football #Soccer,"['cpl', 'football', 'soccer']"
78,#EsoccerGTLeagues–12minsplay Real Madrid (Moic) Esports v Bayern (Tyson) Esports  https://t.co/soferggadN #Soccer,"['esoccergtleagues', 'soccer']"
79,The Arkansas Wolves is pleased to announce the signing of @marcela_bueno10 to the squad ⚽️🐺👊  Welcome back to the pack Marcela 💛🖤  #soccerdevelopment #soccerlife #soccer #arkansas #arkansasoutdoors #arkansaslife  https://t.co/IZZqrAmnQa,"['soccerdevelopment', 'soccerlife', 'soccer', 'arkansas', 'arkansasoutdoors', 'arkansaslife']"
80,"Strathcona Centre Community League is offering a FREE Mini Ref Course, April 23, 2022 from 9am-3pm    Must be 12yrs+ by May 15, 2022   Please email soccer@strathconacommunity.ca for information on how to register  #strathconaCL #yeg  #papastew #oldstrathcona  #soccer #yegsoccer  https://t.co/AJR6sS2BRr","['strathconacl', 'yeg', 'papastew', 'oldstrathcona', 'soccer', 'yegsoccer']"
81,Congratulations to Ava Gianni who has committed to @FDUWSOC to continue her education and soccer journey. We are excited to see her continue to grow as a student-athlete.  #wearecopa #thecopaway #copafamily #newyork #newjersey #jagonept #soccer #futbol #committed  https://t.co/7XRKWqXpeh,"['wearecopa', 'thecopaway', 'copafamily', 'newyork', 'newjersey', 'jagonept', 'soccer', 'futbol', 'committed']"
82,Fixed VIP Matches -  https://t.co/O9QXRHPaxc   #FixedVIPMatches #FixedMatches #football #soccer #FixedMatch #FreeTips #betting #odds,"['fixedvipmatches', 'fixedmatches', 'football', 'soccer', 'fixedmatch', 'freetips', 'betting', 'odds']"
83,FREE PICK⚽: Pachuca -1.5 (+100) (1 Unit) ONLY WINNERS...  #LigaMX #soccer #soccerpicks @Tuzos #apuestasdeportivas #apuestas  https://t.co/b70dKOfiFE,"['ligamx', 'soccer', 'soccerpicks', 'apuestasdeportivas', 'apuestas']"
84,Fixed VIP Matches -  https://t.co/O9QXRHPaxc   #FixedVIPMatches #FixedMatches #football #soccer #FixedMatch #FreeTips #CorrectScore,"['fixedvipmatches', 'fixedmatches', 'football', 'soccer', 'fixedmatch', 'freetips', 'correctscore']"
85,Congratulations to Gabriella Muccio on her commitment to Penn State Harrisburg @pennstateharrisburg this Fall as she looks forward to continuing her education as well as her soccer journey.  #wearecopa #thecopaway #copafamily #newyork #newjersey #soccer #futbol #committed  https://t.co/2H8JPsC3uO,"['wearecopa', 'thecopaway', 'copafamily', 'newyork', 'newjersey', 'soccer', 'futbol', 'committed']"
86,#EsoccerGTLeagues–12minsplay Man City (Brand) Esports v Chelsea (Cliff) Esports  https://t.co/y0jDyxAbgI #Soccer,"['esoccergtleagues', 'soccer']"
87,Congrats Mez on your legendary auto!  . . #sportscards #tradingcards #ClubhouseBreaks #groupbreaks #ShowYourHits #BIGHitties #soccer #futbol #Barcelona  https://t.co/A8qtZqLu1x,"['sportscards', 'tradingcards', 'clubhousebreaks', 'groupbreaks', 'showyourhits', 'bighitties', 'soccer', 'futbol', 'barcelona']"
88,Congratulations to Jennalyn Aravena on her commitment to @wilkesu and @wilkeswsoccer where she looks to continue her educational and soccer dreams.   #wearecopa #thecopaway #copafamily #metuchen #millstone #brooklyn #newyork #newjersey #jagonept #soccer #futbol #committed  https://t.co/PaCaYukuoJ,"['wearecopa', 'thecopaway', 'copafamily', 'metuchen', 'millstone', 'brooklyn', 'newyork', 'newjersey', 'jagonept', 'soccer', 'futbol', 'committed']"
89,Come join us at @miamibierhaus  as we support @FCBayernUS  in their quest to come back against Villarreal and stay alive in the @ChampionsLeague! Kick-off is at 3PM! #MiaSanMia #FCBayern #PackMas #Miami #Fussball #Futbol #Soccer #UCL  https://t.co/onA7rwKfFA,"['miasanmia', 'fcbayern', 'packmas', 'miami', 'fussball', 'futbol', 'soccer', 'ucl']"
90,"The lob pass in soccer is a great way to beat defenders and deliver the ball to a teammate. Your teammate can then either shoot the ball with a volley, a scissors kick,  head or a bicycle kick.   https://t.co/bRxKA6paE3  #soccer #football #fussball #passtheball #soccermove","['soccer', 'football', 'fussball', 'passtheball', 'soccermove']"
92,#EsoccerGTLeagues–12minsplay Man City (Brand) Esports v Chelsea (Cliff) Esports  https://t.co/O3btviMGqU #Soccer,"['esoccergtleagues', 'soccer']"
93,🧐 We are looking for any 2008 boys to join our competitive program... Is it you?  Email: tryouts@miltonmagic.com  #MiltonMagic #MYSC #Soccer #Milton #MiltonON #TownofMilton #Halton #Outdoorsoccer #OntarioSoccer #MiltonStrong  https://t.co/QocFui1kia,"['miltonmagic', 'mysc', 'soccer', 'milton', 'miltonon', 'townofmilton', 'halton', 'outdoorsoccer', 'ontariosoccer', 'miltonstrong']"
94,"7th grade Boys and Girls ⚽️ had tough losses today to Boerne North. They’ll keep training and getting better, looking to get W’s next week. #SOCCER #MIDDLESCHOOLSPORTS #CHARGERS","['soccer', 'middleschoolsports', 'chargers']"
95,🇯🇲Dane Kelly slots it home for the Riverhounds!   🎥: @RiverhoundsSC   #OneSportingCaribbean #ReggaeBoyz #RiverhoundsSC #USLChampionship #USL #Jamaica #CaribbeanFootball #CaribbeanFC #Football #Soccer #Goals  https://t.co/KzQFed4u7h,"['onesportingcaribbean', 'reggaeboyz', 'riverhoundssc', 'uslchampionship', 'usl', 'jamaica', 'caribbeanfootball', 'caribbeanfc', 'football', 'soccer', 'goals']"
96,"Great Win vs a tough team! Proud of my Keeper, only goal was a PK and she was fingertips from getting it!! #soccer #soccermom 🙌🏼💪🏽","['soccer', 'soccermom']"
97,"Welcome Crush to the 5v5 St. George, UT (Womens Open (5v5)) on May 21, 2022 #soccer @exposuresoccer  https://t.co/1rRoWEOpGh",['soccer']
99,Soccer Super League  https://t.co/y7cBQSbAM6 #soccer #league #Football #13,"['soccer', 'league', 'football']"
100,Under the lights... #Soccer #LoVE #Fatherhood @ Hitzman Park  https://t.co/ju2TldzkXj,"['soccer', 'love', 'fatherhood']"
104,Some quick shots from the game on Saturday.   📸 by: Alex Miller . Thank you sir!  #reel #soccer #viral #goalkeeper #ball #footballplayer #futball #soccerlife #viralvideo #viralvideos #reels #footballer #soccerball #soccerplayers #soccergame #soccergoals #soccerlove  https://t.co/qQo1g3C9fl,"['reel', 'soccer', 'viral', 'goalkeeper', 'ball', 'footballplayer', 'futball', 'soccerlife', 'viralvideo', 'viralvideos', 'reels', 'footballer', 'soccerball', 'soccerplayers', 'soccergame', 'soccergoals', 'soccerlove']"
105,Todays match 2/2 #soccer #SportsBets #FreePicks #tips #football #FreeTips #mexico  https://t.co/BChnYwGd74  https://t.co/7onyd2BTKE,"['soccer', 'sportsbets', 'freepicks', 'tips', 'football', 'freetips', 'mexico']"
107,"the ball is just a ball, the enemy is just a human, and you, you are not a ordinary one, you are a SOCCER PLAYER!!!! #soccer",['soccer']
108,"#WeddingGarter Red Satin, #Soccer #BridalGarter Sports, Prom Garter, Keepsake Garter (Your choice, single or set)  https://t.co/0gcj7JLXcG via @Etsy","['weddinggarter', 'soccer', 'bridalgarter']"
112,Soccer Super League  https://t.co/y7cBQStK0e #soccer #league #Football #12,"['soccer', 'league', 'football']"
114,"@clubsoccergame, Very realistc football management game. #CSD20 #football #soccer    https://t.co/KkKO2csOmh","['csd20', 'football', 'soccer']"
115,Shakhtar Donetsk played again  https://t.co/RvT4Z9Gu2f #sundayfootball #footballculture #football #soccer #footballmatch #footballfan,"['sundayfootball', 'footballculture', 'football', 'soccer', 'footballmatch', 'footballfan']"
117,🚨 Players needed for our competitive programs... 🚨  Email: tryouts@miltonmagic.com  #MiltonMagic #MYSC #Soccer #Milton #MiltonON #TownofMilton #Halton #Outdoorsoccer #OntarioSoccer #MiltonStrong  https://t.co/fX2XcimQfr,"['miltonmagic', 'mysc', 'soccer', 'milton', 'miltonon', 'townofmilton', 'halton', 'outdoorsoccer', 'ontariosoccer', 'miltonstrong']"
118,We are so excited to be the host club for this International @WPSL event in July.  Hosted by the town of @Manchester_VT at @AJ_Stadium this is an event you aren’t going to want to miss! #hergame #soccer  https://t.co/QHy6Zv640z,"['hergame', 'soccer']"
121,"Inter Miami CF Forward Leonardo Campana Voted MLS Player of the week presented by Continental Tire for Week 6  #intermiami #Miami #fortlauderdale #fortlauderdale #soccerleague #soccer @ Miami, Florida  https://t.co/AZ8yGjfl6p","['intermiami', 'miami', 'fortlauderdale', 'fortlauderdale', 'soccerleague', 'soccer']"
122,#soccer #sports   Dad volunteers to coach a kid’s soccer game  https://t.co/SFJhDKHSzc via @YouTube,"['soccer', 'sports']"
129,Tags: #flamengo #crf #rubronegro #memes #humor #humoresportivo #futebol #soccer #futebolbrasileiro #brasil #libertadores #sleep,"['flamengo', 'crf', 'rubronegro', 'memes', 'humor', 'humoresportivo', 'futebol', 'soccer', 'futebolbrasileiro', 'brasil', 'libertadores', 'sleep']"
131,Soccer Super League  https://t.co/y7cBQStK0e #soccer #league #Football #11,"['soccer', 'league', 'football']"
132,"William Pottker completes End of loan move to Cruzeiro Esporte Clube, Brazil  https://t.co/NfNHxsVVHf #football #soccer #transfer","['football', 'soccer', 'transfer']"
137,"Giovanni completes loan transfer move to Sport Club do Recife, Brazil  https://t.co/VChVMbYRk9 #football #soccer #transfer","['football', 'soccer', 'transfer']"
139,"The solution for serious soccer players who would like to see fast,wonderful advancements in their soccer skills and become a genuinely game-changing player. #soccer #football #futbol #fifa #futebol #sport #calcio  https://t.co/FZvklyskgp","['soccer', 'football', 'futbol', 'fifa', 'futebol', 'sport', 'calcio']"
140,"""#Soccer News: Watch: #Soccer Coach Fired After Headbutting Female Referee - The Spun #News"":  https://t.co/h3jrDbEi0L","['soccer', 'soccer', 'news']"
142,Trophy Manager is a Football Manager Game with 200.000+ active managers. #Football #Soccer #FollowBack Let's join  https://t.co/oSk9yZoT7c,"['football', 'soccer', 'followback']"
143,@theePopota Yes ~ Milan have done well against their title rivals but have struggled against clubs much lower in the league standings ~ I feel #Inter have the edge now but the title race is still very much alive ~ #Soccer #Italy #Football ~ @icarusjhb @FaneleMbuyazi8 @HadebeM2 @AndreH_NZ,"['inter', 'soccer', 'italy', 'football']"
144,Free soccer bets for everyday gambling! 2-0 Monday 11-1-5 last 7 days #soccer #football #futbol  https://t.co/URfOLKWZIL,"['soccer', 'football', 'futbol']"
146,"Soccer Dad Shirt Gift for Soccer Lover Dad, Soccer Coach T-shirt Design Sports SVG Cutting File Digital Download -  https://t.co/OKXaMso5PI - #soccerlover #soccer #football #soccerskills #footballvideos #soccerworld #skills #soccerlife #soccerfans #footballlovers #socceredits  https://t.co/HBmRwBRFPN","['soccerlover', 'soccer', 'football', 'soccerskills', 'footballvideos', 'soccerworld', 'skills', 'soccerlife', 'soccerfans', 'footballlovers', 'socceredits']"
151,3️⃣ Goals &amp; a clean sheet 🚫  A top defensive performance combined with lethal attacking from U18 Isthmian squad ensures we came away with a 3-0 win 🆚 @WealdstoneFC  🟡⚫️  @theisthmianleague   #football #motd #results #soccer  https://t.co/UPVT9ifTuj,"['football', 'motd', 'results', 'soccer']"
152,Don't miss your chance to be a part of the next chapter of adult soccer in Hamilton!  Welcome to the Hamilton Soccer League!  For more information contact Jesse at hamdsa@hamiltonsoccer.net  #HSL #Hamilton #Soccer  https://t.co/WbQbeeT673,"['hsl', 'hamilton', 'soccer']"
153,"#Trivia Mon: 19Th Hole Café, #Rotterdam 630-830 Tues: Kings Tavern, #Saratoga 8-10 Tues: Centre Street Pub, #Schenectady 7-9 Wed: Kingpin's Alley Family Fun Center, South Glens Falls 7-9 Thurs: TGI Fridays, Saratoga 7-9  Misc. Round: #SPORTS  #superbowl #1 #football #soccer  https://t.co/VK65Z6wcTI","['trivia', 'rotterdam', 'saratoga', 'schenectady', 'sports', 'superbowl', 'football', 'soccer']"
154,"soccer player is VIP all the time for me. i'll support you every second, for sure.  #soccer",['soccer']
155,Soccer Super League  https://t.co/y7cBQStK0e #soccer #league #Football #10,"['soccer', 'league', 'football']"
157,"Discover our @enhancethegame Fun Soccer activities for school grades 2,3,4. Our Spring 6 week program begins April 26th &amp; is a great introduction to the game. Spaces are limited so view details on the website &amp; sign up today #SanDiego #Soccer #Experience   https://t.co/u35q0YgaGH  https://t.co/lPmrCZ3dYb","['sandiego', 'soccer', 'experience']"
158,the terrible scarcity of Antoine Griezmann  https://t.co/cGtqrPVFoO #sundayfootball #footballculture #football #soccer #footballmatch #footballfan,"['sundayfootball', 'footballculture', 'football', 'soccer', 'footballmatch', 'footballfan']"
159, https://t.co/iYZXKneYEJ  🏆#Tips &amp; #Predictions  for the #UEFA #uefachampionsleague #ChampionsLeague - Round of 8 Matchday 3-4 for the 12-13th April 2022 ⚽️ #tipster #soccerpicks #soccer    Register and place your bet!  https://t.co/LLvQbqpkdN 👈,"['tips', 'predictions', 'uefa', 'uefachampionsleague', 'championsleague', 'tipster', 'soccerpicks', 'soccer']"
160,Mom Soccer Shirt - Soccer Mom Shirt - Soccer Mom Life Gift T-Shirt Design Sports SVG Cutting File Digital Download -  https://t.co/QG6CON07Nx - #soccermom #soccer #soccerlife #soccertraining #soccerskills #soccerplayer #soccergirl #soccerislife #football #soccerdad #soccergame  https://t.co/s88veNgX2O,"['soccermom', 'soccer', 'soccerlife', 'soccertraining', 'soccerskills', 'soccerplayer', 'soccergirl', 'soccerislife', 'football', 'soccerdad', 'soccergame']"
162,Premier Soccer League - Table &amp; Standings #SouthAfrica #Soccer #Football #Table #Results  https://t.co/BgoJdyGp2S,"['southafrica', 'soccer', 'football', 'table', 'results']"
163,Off to a great start! #soccer,['soccer']
165,"3A Girls Soccer final: #1 Cody downs #2 Lander, 3-1. #wyopreps #girlssoccer #soccer","['wyopreps', 'girlssoccer', 'soccer']"
167,Dedication #soccer #trainintherain #dedication @TNSoccerClub  https://t.co/NAnalEq1KT,"['soccer', 'trainintherain', 'dedication']"
168,Mother of God!  #Soccer #Football #Nogomet  #Croatia #JoškoGvardiol  Joško Gvardiol will cost a fortune (96.2M€) according to these guys.  https://t.co/0t03EEtzac,"['soccer', 'football', 'nogomet', 'croatia', 'joškogvardiol']"
170,"Just more playing time and I’ll be good enough to play along side @thiago6 @liverpoolfc 😁  #soccer #liverpool #lekki #sports #liverpoolfc #lagosfitnesscoach #lagosfitness @ Lekki Phase 1, Lekki, Lagos  https://t.co/sV7nyhpaxW","['soccer', 'liverpool', 'lekki', 'sports', 'liverpoolfc', 'lagosfitnesscoach', 'lagosfitness']"
173,Pogba a priority for PSG - Tuesday's gossip (BBC Sport)  Manchester City are ready to trigger Real Sociedad's &amp;pound;50m (60m euros) release clause f...  Add your highlights:  https://t.co/TnmjETxb44  #FIFA #soccer,"['fifa', 'soccer']"
174,Yesterday’s Big Sis/ Lil Sis was a success! We can’t wait for Big Bro/Lil Bro this weekend! • #oklahomaceltic #morethansoccer #sports #soccer @ECNLgirls  https://t.co/UX8T6Wehug,"['oklahomaceltic', 'morethansoccer', 'sports', 'soccer']"
175,Soccer Super League  https://t.co/y7cBQSbAM6 #soccer #league #Football #09,"['soccer', 'league', 'football']"
