,text,label
32,[OP.ED] Constitutional Governance : Battle for Supremacy —An Overview from 1950 to 2020 ' by Romy Chacko []  #constitutionalgovernance #legislature  #democracy #ruleoflaw #judgments  #fundamentalright #publicservants    ,"['constitutionalgovernance', 'legislature', 'democracy', 'ruleoflaw', 'judgments', 'fundamentalright', 'publicservants']"
33,Bihar legislative council polls ruling NDA wins 13 of 24 seats #bihar #legislature #nda #shorts  ,"['bihar', 'legislature', 'nda', 'shorts']"
34,USA News Headlines : Pakistan Closes a Chaotic Political Chapter. It May Not Be the Climax.   #usanewsheadlines #civilunrest #islamabad #pakistan #imrankhan #legislature  ,"['usanewsheadlines', 'civilunrest', 'islamabad', 'pakistan', 'imrankhan', 'legislature']"
35,World News Editor : Pakistan Closes a Chaotic Political Chapter. It May Not Be the Climax.   #worldnewseditor #civilunrest #islamabad #pakistan #imrankhan #legislature  ,"['worldnewseditor', 'civilunrest', 'islamabad', 'pakistan', 'imrankhan', 'legislature']"
36,The April 12th General Meeting of the Suffolk County Legislature will begin at 9:30 a.m. and will be live-streamed at   #Legislature #suffolkcounty  ,"['legislature', 'suffolkcounty']"
37,"  ""#War #economy entrepreneurs must be fished out and dealt with to quench the fire on our burning train ~ the wicked traitor(s) in the #executive, #legislature, #army, #police &amp; other agencies must be exposed and silenced if we must have headway."" | 2  #Nigeria #Nigerian ","['war', 'economy', 'executive', 'legislature', 'army', 'police', 'nigeria', 'nigerian', 'insecure']"
38,UNLOCKING THE LEGISLATURE: Did you know there are only NINE Black women total in the Louisiana State Legislature? #legislature #NewOrleans #louisiana  ,"['legislature', 'neworleans', 'louisiana']"
40,World News Editor : Pakistan’s Supreme Court Blocks Imran Khan’s Move to Stay in Power   #worldnewseditor #pakistan #imrankhan #politics #legislature  ,"['worldnewseditor', 'pakistan', 'imrankhan', 'politics', 'legislature']"
41,Policy Group Calls on WI Legislature to Pass Election Integrity Laws...   #policy #group #calls #on #wi #legislature #to #pass #election #integrity ,"['policy', 'group', 'calls', 'on', 'wi', 'legislature', 'to', 'pass', 'election', 'integrity', 'laws']"
42,"""In a system where trichotomy of powers exist, when the #executive branch attacks the legislature, it becomes the duty of the #judiciary to protect the #legislature.    ","['executive', 'judiciary', 'legislature']"
43,Alabama Legislature votes to ban gender-affirming medical care for transgender youth...   #alabama #legislature #votes #to #ban #gender-affirming #medical #care #for #transgender ,"['alabama', 'legislature', 'votes', 'to', 'ban', 'gender', 'medical', 'care', 'for', 'transgender', 'youth']"
44,Good news for #Ohio!  signed the #LivingDonorProtectionAct into law! We thank the #Ohio #legislature for passing this important legislation and fighting for living organ donors and those living with #kidneydisease.   Full release:  ,"['ohio', 'livingdonorprotectionact', 'ohio', 'legislature', 'kidneydisease']"
46,The Bihar Legislative Council poll which was held on Thursday saw the ruling National Democratic Alliance (NDA) winning 13 out of the 24 seats that were being contested.  #bihar #legislature #nda #news #newslatest #newsupdate #latestnews  ,"['bihar', 'legislature', 'nda', 'news', 'newslatest', 'newsupdate', 'latestnews']"
47,"Alabama legislature passes 'Don't Say Gay,' trans care and bathroom ban bills...   #alabama #legislature #passes #dont #say #gay #trans #care #and #bathroom #ban ","['alabama', 'legislature', 'passes', 'dont', 'say', 'gay', 'trans', 'care', 'and', 'bathroom', 'ban', 'bills']"
48,"Although the deadline for bills to emerge and be submitted is Friday, 4/8, bills with only a single referral must be filed by today, 4/7. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀  #legislation #legislature #legislative #law #lawmakers #bill #politics #hawaiistatecapitol #hinews #hawaiinews  ","['legislation', 'legislature', 'legislative', 'law', 'lawmakers', 'bill', 'politics', 'hawaiistatecapitol', 'hinews', 'hawaiinews']"
49,Great news! #Florida  signed the #LivingDonorProtectionAct into law! This bill will help protect living #organdonors in the state. We thank the #Florida #legislature for passing this important legislation and fighting against #kidneydisease.  ,"['florida', 'livingdonorprotectionact', 'organdonors', 'florida', 'legislature', 'kidneydisease']"
50,"Scripture:  Proverbs 24:11  #Oklahoma #legislature voted to ban nearly all #abortions in the state on Tuesday. The bill now heads to the Governor, Kevin Stitt (R) who pledged to sign it, full story  ","['oklahoma', 'legislature', 'abortions']"
51,The decision should /must be according to the constitution and its interpretation by the judiciary. Decisions related to National interest are entirely and solely responsibility of Parliament through the legislatures constitutionally.  #Judiciary ⚖️  #Executive ,"['judiciary', 'executive', 'legislature']"
52,#Oklahoma #legislature successfully voted to %ban nearly all #abortions in the state on Tuesday. The bill now heads to the #Governor’s desk. Republican Gov. #KevinStitt has pledged to sign it.   ,"['oklahoma', 'legislature', 'abortions', 'governor', 'kevinstitt']"
53,"Heh... #Judiciary nowadays obstructs, delays, overrules the #Legislature anyway. So what's with the round-about procedure? 😋   ","['judiciary', 'legislature']"
54,Who is Jack Jordan?   #JackJordan #Indiana #GOP #Republican #Legislature #District17    ,"['jackjordan', 'indiana', 'gop', 'republican', 'legislature', 'district17']"
55,What is House Bill 1190? Take a good read.  Read between the lines...   #Indiana #Republican #GOP #Legislature #HB1190 #JackJordan #EricHolcomb #College #FreeSpeech    ,"['indiana', 'republican', 'gop', 'legislature', 'hb1190', 'jackjordan', 'ericholcomb', 'college', 'freespeech']"
56,#California’s Aging Master Plan Efforts Advance Through #Legislature   ,"['california', 'legislature']"
57,"Although the deadline for concurrent resolutions to pass is tomorrow, 4/7, measures must be filed by today, 4/6!⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀  #legislation #legislative #legislature #houseofrepresentatives #hinews #hawaiinews #politics #laws #bill #hawaii #lawmakers  ","['legislation', 'legislative', 'legislature', 'houseofrepresentatives', 'hinews', 'hawaiinews', 'politics', 'laws', 'bill', 'hawaii', 'lawmakers']"
58,"Can you name the 3 branches of our government?  . . . Times up!  . . . #Executive, #legislature &amp; #judicial branches make it up &amp; you'll get a lesson on all 3 w/ #BTSQ's #WashingtonDC Circle of Power! Book your #historylesson now!  #travel #luxurytravel    ","['executive', 'legislature', 'judicial', 'btsq', 'washingtondc', 'historylesson', 'travel', 'luxurytravel']"
59,via : #GovernorHochul and #Legislature must pass #AllElectricBuildingAct by inclding in state budget. #Legislation wold establish #NY as 1st state in USA to ban #frackedgas/fossil fuels in new buildings. Speaker Heastie is balking! ,"['governorhochul', 'legislature', 'allelectricbuildingact', 'legislation', 'ny', 'frackedgas', 'action']"
60,"#MarshaBlackburn and the #Tennessee #legislature agree that it’s okay to *uck little girls as long as you marry them.   Are little boys safer from nasty older #GOP women? #Republicans  hate gays, are boys safer?  #MarryLittleKids #Pedohilia loophole from justice in Tennessee.","['marshablackburn', 'tennessee', 'legislature', 'gop', 'republicans', 'marrylittlekids', 'pedohilia']"
61,"A member of the #Israeli #Parliament (#Knesset), who is the chairwoman of the ruling #Coalition, has announced her #resignations in a move that leaves the regime of #PrimeMinister #naftalibennett without a majority at the ","['israeli', 'parliament', 'knesset', 'coalition', 'resignations', 'primeminister', 'naftalibennett', 'legislature']"
62,NBC 10 News Today: Louisiana lawmakers introduce bill to help sex trafficking victims.   #Louisiana #Legislature ,"['louisiana', 'legislature', 'sextraffickingvictims']"
63,#lalege The #Louisiana #Legislature is working hard to address our #Fentanyl deaths this week. I saw this post. Tell us more.  Funding for test kits and distribution should be part of the response to decrease #overdose #deaths from ,"['lalege', 'louisiana', 'legislature', 'fentanyl', 'overdose', 'deaths', 'drugs']"
65,"The Supreme Court on Tuesday expressed discontent at the fact that the cases either before a lower court or tribunal, eventually ended up before it.   #legislature #SupremeCourt ","['legislature', 'supremecourt', 'supremecourtofindia']"
67,Interesting debate in the #legislature. The NDP and Finance Minster just said they need to make more $$ to ensure they make better decisions for people. Actually arguing they (NDP Cabinet and Premier) need the raise to send the right message they care for other people ,"['legislature', 'bcpoli']"
68,#Oklahoma #legislature attempt return to the #subjugation of #women:  ,"['oklahoma', 'legislature', 'subjugation', 'women']"
69,"The best part of subscribing to The Dealmaker by #RoseLawGroup Reporter is having the latest #CRE deals and #legislature #news go straight to your inbox, without having to scour multiple sources.    #AZNews #Newsletter #RealEstate #LegalTeam ","['roselawgroup', 'cre', 'legislature', 'news', 'aznews', 'newsletter', 'realestate', 'legalteam', 'azlawfirm']"
70,". In your speeches, re ""the fight for #democracy"", understandably, while in the #legislature, the democratic process is messy. But while you continue with this #doublespeak, it not only perpetuates communist tyrannies, but also extreme right-wing religious zealots.","['democracy', 'legislature', 'doublespeak']"
71,"  His depth of knowledge is irreplaceable. We're losing a key source of respected #journalism. But considering how #Florida #government and the #legislature have behaved in recent years, I'm amazed he didn't walk away sooner!","['journalism', 'florida', 'government', 'legislature']"
72,Flavored tobacco ban in play in Colorado legislature #bitcoin #news #today #Flavored #tobacco #ban #play #Colorado #legislature  ,"['bitcoin', 'news', 'today', 'flavored', 'tobacco', 'ban', 'play', 'colorado', 'legislature']"
73,Flavored tobacco ban in play in Colorado legislature #news #today #Flavored #tobacco #ban #play #Colorado #legislature bitcoin  ,"['news', 'today', 'flavored', 'tobacco', 'ban', 'play', 'colorado', 'legislature']"
74,Committee meetings of the Suffolk County Legislature will be held from April 4th - April 7th to tee up proposed legislation for consideration at the next general meeting on April 12th. Meetings will be live-streamed. #Legislature #Suffolk  ,"['legislature', 'suffolk']"
76,"""Science is on our side.""    #Charismanews #charismamedia #Colorado #EndAbortionNow #PastorJeffDurbin ","['charismanews', 'charismamedia', 'colorado', 'endabortionnow', 'pastorjeffdurbin', 'legislature']"
77,"( 2022T325 )  But who is following what is happening in 2 houses of #India's #legislature !!  #Officially, #official news is #reported ( wonder if there is even such a thing now !! ) by #media, #pliant one at that, largely &amp; this isn't reported, so everything is peaceful !!","['india', 'legislature', 'officially', 'official', 'reported', 'media', 'pliant']"
78,"""Science is on our side.""    #Charismanews #charismamedia #Colorado #EndAbortionNow #PastorJeffDurbin ","['charismanews', 'charismamedia', 'colorado', 'endabortionnow', 'pastorjeffdurbin', 'legislature']"
79,The next president must promise : #Immediate land reforms and management-each family shelter  #Education reform-kenya curriculam by Kenyans for Kenyans  #politicians to drop thier ego and do perform their duties as expected  #legislature -should be made up of ethics wisdom etc,"['immediate', 'education', 'politicians', 'legislature']"
80,"Early voting ballots are being mailed out to voters starting today! #Vote Michael Young for #Legislative District 18 on your primary ballot!  Donate, volunteer and request your yard signs at    #youngforne #nebraska #legislature #votebymail  ","['vote', 'legislative', 'youngforne', 'nebraska', 'legislature', 'votebymail']"
81,"Why aren't there laws to stop both misinformation and disinformation in the Indian media?   An average Indian gets their daily shot of information from the news and if those news are biased, then the the society will be doomed.   #Media #Journalim #News #Unbiased ","['media', 'journalim', 'news', 'unbiased', 'legislature']"
82,"Last week, Idaho’s #legislature officially ended their session and went home. Our thoughts now turn to the upcoming election and how it will impact Idaho’s next legislature.  Next year’s legislature will be significantly different than this year’s. At a minimum, #Idaho will have  ","['legislature', 'idaho']"
83,"If I read this right, Georgia State Rep. Calvin Smyre, first elected in 1974 at age 26, is leaving having served as long in Georgia as  has been working with state legislatures. #gapol ","['gapol', 'legislature']"
84,‘The guy in the glass’: Longtime Georgia State Rep. Calvin Smyre wraps 48 years in office #gapol #legislature  ,"['gapol', 'legislature']"
1,Dr B.R. Ambedkar will always inspire us to dedicate our lives to making other people’s lives better.   Warm wishes on Ambedkar Jayanti.  #ambedkarjayanti2022 #ambedkarjayanti #bhimraoambedkar #indianconstitution #fatherofindianconstitution #inequality #society #government #India  ,"['ambedkarjayanti2022', 'ambedkarjayanti', 'bhimraoambedkar', 'indianconstitution', 'fatherofindianconstitution', 'inequality', 'society', 'government', 'india']"
2,"The #uk #government really do not have an answer when it comes to #AsylumSeekers it's a pity #australia is already populated, I think that would have been a better alternative to #rwanda but they're over a hundred or so years too late. How does this deter #people ","['uk', 'government', 'asylumseekers', 'australia', 'rwanda', 'people', 'smugglers']"
3,"GAMBICA is one of the #founding #members of the EURIS Task Force.   The EURIS Task Force is an #advisory #body for the potential impacts of the changing# relationship between the #UK and #EU for the #UK #Government, #manufacturers and the #media.  ","['founding', 'members', 'advisory', 'body', 'uk', 'eu', 'uk', 'government', 'manufacturers', 'media']"
4,Former Madhya Pradesh Chief Minister Digvijaya Singh has slammed the BJP-led Madhya Pradesh state government over Khargone violence.  #briflynews #DigvijayaSingh #MP #government #StateGovernment #MadhyaPradesh   ,"['briflynews', 'digvijayasingh', 'mp', 'government', 'stategovernment', 'madhyapradesh']"
5,#PMLN is set to form the #government in #Panjab province. Is it trigger for change of guard in #KPK &amp; #POK where #PTI usurped power through #establishment help. A Fact Check #PunjabAssembly #BajwaforPakistan          ,"['pmln', 'government', 'panjab', 'kpk', 'pok', 'pti', 'establishment', 'punjabassembly', 'bajwaforpakistan']"
6,"Greetings #World #Anonymous  This is an #invitation to Anonymous #Hacker #Hackers  #hacktivists Black, White, Grey.🏴  #Joinus against the #Rajapaksas #Government on #20thApril  2022 🇱🇰 #OpSrilanka    by:   #SriLankaEconomicCrisis   ","['world', 'anonymous', 'invitation', 'hacker', 'hackers', 'hacktivists', 'joinus', 'rajapaksas', 'government', '20thapril', 'opsrilanka', 'srilankaeconomiccrisis']"
7,".  When facing a powerful adversary, it would not be wise to weaken the defence from within    #emergency #disaster #panic #defense #government #pandemic #teleworking #AI #crypto ","['emergency', 'disaster', 'panic', 'defense', 'government', 'pandemic', 'teleworking', 'ai', 'crypto', 'quantum']"
8," God bless you abundantly... You, are the government #Politicians #Government ","['politicians', 'government', 'kzn_floods']"
9,The political attempt of Point Scoring and casting aspersions on any capacity of a #government to manage #safety and #security of #nuclear #weapons is irresponsible. This must be avoided and condemned.   ,"['government', 'safety', 'security', 'nuclear', 'weapons']"
13,See how  Data Vault helped a #Government Department improve the way that #data was shared across a diverse range of delivery partners spanning multiple sectors. Read the #casestudy here    #datasteward for #business #CEO #CFO #CIO #CDO #datagovernance  ,"['government', 'data', 'casestudy', 'datasteward', 'business', 'ceo', 'cfo', 'cio', 'cdo', 'datagovernance']"
14,      Senior officers in #Pakistan #Army already lobbying with newly formed ,"['pakistan', 'army', 'government']"
16,The World Health Organization (WHO) and the government of India signed an agreement Friday to establish a global center for traditional medicine in the western Indian state of Gujarat. Read More:   #world  #Health #WHO #government  #Friday #medicine  ,"['world', 'health', 'who', 'government', 'friday', 'medicine']"
17,We believe in #BabaAmbedkar because he removed #casteism.But what about today #casteism In #government jobs for #general 🤔And no one talk about that  🤔🤔  #BabasahebAmbedkar #AmbedkarJayanti2022  ,"['babaambedkar', 'casteism', 'casteism', 'government', 'general', 'babasahebambedkar', 'ambedkarjayanti2022']"
18,"Haryana Minister of State for Sports and Youth Affairs, Sh. Sandeep Singh said that the Sports ....   #newonline #CM #Haryana #Commission #HaryanaMinister #Haryananews #Sports #SportsDepartment #ShSandeepSingh #government  ","['newonline', 'cm', 'haryana', 'commission', 'haryanaminister', 'haryananews', 'sports', 'sportsdepartment', 'shsandeepsingh', 'government']"
19,This is essential reading - a measured analysis of #DavidWolfson #resignation  letter &amp; the #government response to #PartyGate. The correct legal action is clear. A watershed moment for #Parliament  ,"['davidwolfson', 'resignation', 'government', 'partygate', 'parliament']"
21,"NEW PAPER: featured in , by EEE's  &amp; , entitled 'Brain-inspired computing needs a masterplan' - a concise case for why #NeuromorphicComputing needs greater #government investment &amp; support:  ","['neuromorphiccomputing', 'government']"
23,"Join us to listen to , discussing ""#Government and #grains:  re-examining the historical relationship between nation #states &amp; #economic #security"". May 20, 2022, 18:30 (IST/Delhi).      ","['government', 'grains', 'states', 'economic', 'security']"
24,I still struggle to be believe that Michael Fabricant is actually a real person and not a character like Keith Lemon! #politics #ToryCorruption #ToryScumOut #government #PoliticsToday #ToryIncompetence #ToryLiars #ToryCriminalsUnfitToGovern #BorisJohnson #BorisJohnsonResign  ,"['politics', 'torycorruption', 'toryscumout', 'government', 'politicstoday', 'toryincompetence', 'toryliars', 'torycriminalsunfittogovern', 'borisjohnson', 'borisjohnsonresign']"
25,Check out the paid  internship opportunities. Great experience to be had. Focus on #digital and #data in ,"['digital', 'data', 'government']"
26,Taxes are not eternal ... TODAY'S TAX SYSTEMS - And How God Will Change Them  ▸    #taxes #finances ,"['taxes', 'finances', 'government']"
27," Watch out for Islamist, they will destroy #America they are in our #Government No more! Test their so called Religion Of Peace! Secret #muslims are destroying America at the helm! ","['america', 'government', 'muslims', 'wakeup']"
29,Really interesting to hear a #bureaucrat admit this. Thank you for posting. Seems MOST #government programs now harm recipients under .  AgedCare and #NDIS other examples. Time for #PublicAdministrationRC and major reform ,"['bureaucrat', 'government', 'ndis', 'publicadministrationrc', 'auspol']"
30,"""Industry needs to be open to praising the #government where it's called for and criticising the government where needed,"" said  from Forbes Marshall.  ",['government']
31,#Government warns hackers targeting #ICS and #SCADA devices with custom-made tools   - SiliconANGLE  ,"['government', 'ics', 'scada']"
32,Government agencies should make more efforts to adopt Artificial Intelligence in their organizational processes. The resulting optimization is significant and would benefit citizens and the budget.  Microblog &amp; social design  via  #AI #DataScience #Government  ,"['ai', 'datascience', 'government']"
33,Solvent Extractors Association seeks upward revision in edible oil stock limits     #OilandGasSector #Commodity #Government #EdibleOil #Investmentguruindia  ,"['oilandgassector', 'commodity', 'government', 'edibleoil', 'investmentguruindia']"
34,Haryana Government has issued instructions regarding Grant of Reservation in Promotion to the Persons with Benchmark    #newonline #CM #Haryana #Government #instructions #Haryananews #Benchmark #Persons  ,"['newonline', 'cm', 'haryana', 'government', 'instructions', 'haryananews', 'benchmark', 'persons']"
35,The #federal #government SUCKS! What about his right to a fair and speedy trial? What about decency? . has become an irony! #Feds Move #January6 #political #prisoner #JakeLang Right Before Family Comes to See Him on His Birthday ... 👇👇  ,"['federal', 'government', 'feds', 'january6', 'political', 'prisoner', 'jakelang']"
36,"Is there any loyal, Sincere man in Any #Government #agency in #Pakistan who can arrest a convicted #janwar like sher 😊 upon arrival at Airport ? ","['government', 'agency', 'pakistan', 'janwar', 'امپورٹڈ_حکومت_نامنظور']"
39,[Disconnect all internet lines at the border.  ] That is the most effective sanctions.  #usa  #eu  #war  #government  #peace  ,"['usa', 'eu', 'war', 'government', 'peace']"
40, No morals left in the ANC #Government! 😢😢😢,['government']
41,"Get an easy guide to RCM (reverse charge mechanism) introduced in GST India same as VAT basis. Also, We covered the topic in all aspects in a systematic manner. #RCM #GSTupdates #Supplier #Recipient #Government #Amendments ","['rcm', 'gstupdates', 'supplier', 'recipient', 'government', 'amendments', 'taxes']"
42,"This sounds like a good role for #government. Seems  and some #independents will help a speedy #transition to #renewable #energy by 2035,  is equivocal, and #LNP #UAP and #PHON are clinging to path to #ClimateCrisis. Vote carefully. Put #LNP last. ","['government', 'independents', 'transition', 'renewable', 'energy', 'lnp', 'uap', 'phon', 'climatecrisis', 'lnp', 'auspol']"
43,In rememberance of the great Indian Soul and the Father of the Indian Constitution Dr. B. R. Ambedkar.  We wish you a very happy Ambedkar Jayanti.  Shoopam.  #shoopamapp  #brambedkar #ambedkarjayanti #india #indianconstitution #government #jaihind #vandemataram #wishes  ,"['shoopamapp', 'brambedkar', 'ambedkarjayanti', 'india', 'indianconstitution', 'government', 'jaihind', 'vandemataram', 'wishes']"
44,Bangladesh-Poila Boishakh Bengali New Year Celebration in Bangladesh  #Government #Bangladesh #CelebratingPoilaBoishakh #festival #internationalupdate  ,"['government', 'bangladesh', 'celebratingpoilaboishakh', 'festival', 'internationalupdate']"
45,#Letearthbreathe Professional NASA scientists got arrested for protesting about stopping fossil fuels because if we don't the Earth's temperature will continue to rise posing a threat to human lives. crdts #LETEARTHBREATHE #Stopfossilfuels #CLIMATECHANGE #Government #Help  ,"['letearthbreathe', 'letearthbreathe', 'stopfossilfuels', 'climatechange', 'government', 'help']"
46,"Watch this #fascist #government at work!  White #refugees paid £350.00 to come Black sent 1000s of miles away!  #Ukraine  Asylum seekers to be sent 6,000 miles to Rwanda for processing under government plans to halt Channel crossings | UK News | Sky News  ","['fascist', 'government', 'refugees', 'ukraine']"
47,Free Crypto Coins Tips : Telegram supports protests in Belarus with new opposition flag emoji  #freecryptocoinstips #politics #business #government #belarus #telegram  ,"['freecryptocoinstips', 'politics', 'business', 'government', 'belarus', 'telegram']"
48,"Government asking people to use E-Vehicles more, and applying LOAD SHADING in Maharashtra. Hypocrisy🙂  #ElectricVehicles #electricity #loadshading #ecar #maharastra #government #technology #uddhavThackeray #MVA #india #Politics #aditya    ","['electricvehicles', 'electricity', 'loadshading', 'ecar', 'maharastra', 'government', 'technology', 'uddhavthackeray', 'mva', 'india', 'politics', 'aditya']"
51,It seems that after initial fear mongering in #media and so called #government here in #Finland many children adopted #masks. Now delightfully most #children seem to have abandoned them,"['media', 'government', 'finland', 'masks', 'children']"
52,"Greetings citizens of #SriLanka  #SriLankan corrupted #politicians living beyond their means. #Government Owned Assets worth #USD 11.55 Billion  Fraud per km is $ 41,100,000   #sriLankaeconomycrisis #corruption  We are #Anonymous #ExpectUs    ","['srilanka', 'srilankan', 'politicians', 'government', 'usd', 'srilankaeconomycrisis', 'corruption', 'anonymous', 'expectus']"
54,In rememberance of the great Indian Soul and the Father of the Indian Constitution Dr. B. R. Ambedkar. We wish you a very happy Ambedkar Jayanti.   #resculptfitness #brambedkar #ambedkarjayanti #india #indianconstitution #government #jaihind #vandemataram #wishes  ,"['resculptfitness', 'brambedkar', 'ambedkarjayanti', 'india', 'indianconstitution', 'government', 'jaihind', 'vandemataram', 'wishes']"
55,"The deal is expected to see the #Rwandan #government given an initial £120m as part of a trial, but opponents say the annual cost of the full scheme would be far higher.","['rwandan', 'government']"
57,"AND FUCK #GOVERNMENT FOR NOT LISTENING TO THEM. THEY ARE TRYING TO INFORM US, WHAT THE FUCK IS YOUR REASON TO ARREST THEM??? IF YOU WANT TO DIE, WE DON'T!   ","['government', 'endfossilfuels']"
58,Amid the ongoing unrest over incidents of communal polarization in the state the #BJP #government in #Karnataka permitted the continuation of an age-old ritual from the #Quran during a #historical #Hindu #religious fair despite objections from Hindu group   ,"['bjp', 'government', 'karnataka', 'quran', 'historical', 'hindu', 'religious']"
59,The #government is mulling to establish Eklavya Model Residential #schools (EMRS) a central government initiative to provide quality education to the Scheduled Tribes (STs) of #Jammu and #Kashmir. #Srinagar #JammuAndKashmir  ,"['government', 'schools', 'jammu', 'kashmir', 'srinagar', 'jammuandkashmir']"
60,In rememberance of the great Indian Soul and the Father of the Indian Constitution Dr. B. R. Ambedkar.  We wish you a very happy Ambedkar Jayanti.  Dr.Aryavrat.  #Draryavrat  #brambedkar #ambedkarjayanti #india #indianconstitution #government #jaihind #vandemataram #wishes  ,"['draryavrat', 'brambedkar', 'ambedkarjayanti', 'india', 'indianconstitution', 'government', 'jaihind', 'vandemataram', 'wishes']"
